frame,x,y
351.0,5024.94567433167,35951.9164587679
351.0,5057.041114527784,36696.21902947738
352.0,5522.328454191873,37176.11180843513
352.0,4933.056998354747,37279.86042546303
353.0,4939.489019475792,35396.674216718966
353.0,4974.01960427801,37518.923284669865
353.0,5210.37798742671,36879.16643691836
353.0,4722.442485377645,37315.60227492333
354.0,5864.022773897467,35844.595937701895
354.0,4764.65169978393,37116.10903350949
354.0,4832.349197599689,36652.08535277144
354.0,5056.457681110382,37123.7770946548
354.0,4627.675825655509,35928.97891068892
354.0,5424.320643883591,37632.86064080286
354.0,5464.370267679633,36166.75162330036
354.0,5304.936196813473,36964.40377182438
355.0,5073.1210092845895,35803.719877568205
355.0,4722.977034063926,36985.28020669789
355.0,6081.591618258059,38051.1202127925
355.0,4881.639737091381,37309.17451492768
355.0,5368.138815394023,34712.15717478281
355.0,5643.525262265524,37810.13274319816
355.0,6177.420778695145,36729.119384778765
355.0,4905.98864417195,37152.87533188991
355.0,5883.6006086110265,36497.613665122095
356.0,5724.556766857885,36589.17624663912
356.0,6251.439448067822,37651.64655882532
356.0,6366.144409881292,37377.9594919483
356.0,4752.08891677782,34371.047572468175
356.0,4491.962550800608,37516.33442845528
356.0,6253.197986990134,38158.75878905691
356.0,4653.6805985458695,37701.80520421285
356.0,4940.053693174196,35522.70913247768
356.0,5350.712314607935,37554.648302634494
356.0,5694.232776726302,35646.27043905207
356.0,5769.607135731192,37730.76145097997
356.0,5465.667541471873,37950.97257696455
356.0,4619.708846186816,35707.082167667046
356.0,5109.017261745736,36435.99928442205
356.0,5382.957759701816,37032.96371899854
357.0,5014.522923215313,35649.23800493684
357.0,6840.105839974126,37444.267230597856
357.0,4178.089016158921,36888.937637879055
357.0,5637.428603524709,37524.35239794452
357.0,5578.967177688577,36539.528904088096
357.0,6144.591672460258,38281.7332832455
357.0,6997.723602134765,37805.38672502084
357.0,4799.209794773516,34388.38216836714
358.0,5214.972691644443,36818.2966992246
358.0,5265.953663523259,37280.52940765881
358.0,5967.296334560676,37657.07050315527
358.0,6585.449269550813,37187.25824316106
358.0,4007.940808400512,34981.08671496274
358.0,4651.338189414559,37964.533107497686
358.0,6210.0793406011335,38588.76920247917
358.0,4843.254280020615,37673.67808331259
358.0,5598.252172451241,36547.90273647924
358.0,4888.473508203652,37170.73827667556
358.0,5164.718481608748,37176.454382560645
358.0,5872.402770076657,35173.04819088005
358.0,5203.053300794732,37939.77160656612
358.0,3868.131756677517,35507.01082359281
358.0,4230.638303915912,36244.404011262544
358.0,5406.23110619885,37200.415647343485
358.0,5603.1639789647015,35503.47424624546
359.0,5994.855783971358,36788.4066459566
359.0,4542.2403712267005,36908.63091439666
359.0,5029.199450503595,38040.24318709761
359.0,5216.855045800457,37370.29170127887
359.0,5785.3153886044,38317.73313412172
359.0,6038.501371626506,38753.99743133388
359.0,4945.151748438008,34676.34912985112
359.0,4228.6857352778425,37122.1752755539
359.0,5275.471861703008,37097.836582199554
359.0,5945.103809309125,37023.78867183602
359.0,6958.11356383891,37916.74487615901
359.0,4200.793588335655,35549.86191915611
359.0,4856.168829340758,38022.8936413384
359.0,6606.79419314243,39041.80720145005
359.0,4154.818919524223,37241.23638029595
359.0,4978.253712505984,36146.59284077294
360.0,4086.052789761776,38219.26684429052
360.0,5075.680270047848,37203.7729762409
360.0,4662.523120635409,35325.15289617256
360.0,5906.803278980142,37626.65104523759
360.0,3536.8530224035626,35352.394639346094
360.0,4999.177045944266,36558.73084584589
360.0,6219.65686977291,37126.52869533424
361.0,5370.63701020724,35881.48127975477
361.0,6069.367817264505,36054.56629819748
361.0,4110.5370872507965,36809.64252458925
361.0,5325.912532838138,37375.97568822308
361.0,5540.506885118871,36776.94525881492
361.0,5773.9922800857685,37807.547123929326
362.0,4656.44060703889,36546.60852942073
362.0,4358.618672072945,34731.75505684147
362.0,4204.392234701648,37382.66582094476
362.0,4647.845609066863,37979.84238222244
362.0,6594.0875621224,37462.63745076264
362.0,6271.520110385238,37817.999436239
362.0,3628.319104123105,35687.11018872778
362.0,4068.478152390468,38034.225215819126
363.0,4492.280140370917,37649.53870602645
363.0,4926.136861888433,36483.33900274208
363.0,4369.526945968534,38591.70162870738
363.0,5586.687109963143,37503.95241999019
363.0,3977.284688107502,35032.24021190602
363.0,5960.056886104196,36912.208451208346
363.0,2968.403415317821,35469.80895873003
363.0,5299.379140961781,37850.28689312207
363.0,6808.948742074524,37095.50355787757
363.0,6556.3049298305,35591.75977283505
363.0,6698.897090487437,35961.709847857375
363.0,3980.9234762523374,36589.74157893696
363.0,4669.869806050363,37097.20395076816
363.0,6306.304932918572,36377.886068154425
363.0,5280.003008205664,37441.38305368731
364.0,6213.479953218913,37481.420809248855
364.0,4204.246354593295,34840.17071507292
